FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,SEEING,MAGUNCERT7,MAGUNCERT5
1,59811.38429,,1.295,,5,,6,,7,,21,,25,,30,,35,,25.457,,25.355,,25.292,,25.135,,25.132,,25.137,,25.142,,0.002,,0.002,,0.002,,0.006,,0.007,,0.009,,0.012,,182617.9,,200635.4,,212618.9,,245639.8,,246379.3,,245200.8,,244022.6,,265970.2,,321011.4,,375559.6,,1713552,,2327666,,3241900,,4322401,,5.8051,0.0016772637110123,0.001398155908056
2,59811.38826,,1.28,,5,,6,,7,,21,,25,,30,,35,,25.349,,25.277,,25.232,,25.123,,25.122,,25.128,,25.123,,0.002,,0.002,,0.002,,0.006,,0.007,,0.009,,0.012,,200738.9,,214612.6,,223729.2,,247142.5,,247525.3,,246146.7,,247216.3,,283485.9,,334148.8,,385491.5,,1704355,,2313715,,3221157,,4296170,,4.8298,0.0016058453843772,0.0012853733507823
3,59811.39248,,1.266,,5,,6,,7,,21,,25,,30,,35,,25.409,,25.318,,25.263,,25.131,,25.132,,25.128,,25.118,,0.002,,0.002,,0.002,,0.005,,0.006,,0.008,,0.009,,191417.2,,208171.4,,218965.2,,247333.1,,247130.5,,247952.5,,250251.1,,274557.4,,328278.5,,381499.3,,1711475,,2323145,,3237115,,4318467,,5.4951,0.0016340641062687,0.0013448281717307
4,59811.39644,,1.253,,5,,6,,7,,21,,25,,30,,35,,25.355,,25.279,,25.234,,25.126,,25.12,,25.122,,25.122,,0.002,,0.002,,0.002,,0.004,,0.005,,0.006,,0.008,,202374.2,,217228.8,,226428.3,,250069.9,,251294.4,,251020.0,,250858.6,,285542.8,,337325.1,,388978.0,,1714609,,2327898,,3240974,,4320101,,5.0289,0.0015765268314965,0.0012648047069279
5,59811.40118,,1.24,,5,,6,,7,,21,,25,,30,,35,,25.307,,25.244,,25.207,,25.111,,25.104,,25.111,,25.112,,0.002,,0.002,,0.002,,0.005,,0.007,,0.009,,0.011,,212236.7,,224917.2,,232583.8,,254134.2,,255773.6,,254227.9,,253938.0,,294837.2,,344160.0,,394088.9,,1707967,,2317086,,3222302,,4293508,,4.5741,0.0015356274935469,0.0012023717940845
6,59811.40538,,1.229,,5,,6,,7,,21,,25,,30,,35,,25.292,,25.236,,25.203,,25.135,,25.14,,25.146,,25.149,,0.002,,0.002,,0.002,,0.005,,0.006,,0.007,,0.01,,214980.3,,226353.1,,233389.2,,248359.6,,247232.9,,245869.3,,245239.9,,298160.5,,346335.5,,396010.6,,1711336,,2321196,,3232224,,4310027,,4.4067,0.0015192338240298,0.0011815310266826
7,59811.40934,,1.22,,5,,6,,7,,21,,25,,30,,35,,25.287,,25.229,,25.194,,25.115,,25.121,,25.129,,25.128,,0.002,,0.002,,0.002,,0.004,,0.005,,0.007,,0.008,,214680.1,,226618.2,,233858.8,,251570.2,,250159.3,,248312.4,,248558.2,,297214.8,,345670.2,,395241.4,,1703492,,2308618,,3212398,,4282842,,4.5022,0.0015195274257821,0.0011850692743726
8,59811.41331,,1.212,,5,,6,,7,,21,,25,,30,,35,,25.292,,25.235,,25.2,,25.114,,25.116,,25.118,,25.124,,0.002,,0.002,,0.002,,0.004,,0.005,,0.007,,0.009,,213115.8,,224739.3,,231975.4,,251052.6,,250783.3,,250234.7,,248916.0,,296103.3,,344221.5,,394233.7,,1709498,,2318190,,3227374,,4301101,,4.3414,0.0015329950477953,0.0011941398059503
9,59811.41727,,1.205,,5,,6,,7,,21,,25,,30,,35,,25.307,,25.247,,25.21,,25.12,,25.117,,25.123,,25.126,,0.002,,0.002,,0.002,,0.005,,0.006,,0.008,,0.01,,210272.6,,222253.0,,229939.5,,249776.1,,250401.8,,249192.6,,248412.4,,294460.2,,343429.9,,394592.7,,1729401,,2347741,,3269438,,4359290,,4.4598,0.0015586031068363,0.0012236819374492
10,59811.42123,,1.199,,5,,6,,7,,21,,25,,30,,35,,25.335,,25.267,,25.226,,25.118,,25.116,,25.111,,25.088,,0.002,,0.002,,0.002,,0.005,,0.007,,0.009,,0.011,,204731.9,,217899.7,,226400.4,,249921.6,,250375.5,,251672.2,,256885.1,,289328.9,,339656.7,,391905.2,,1737468,,2358668,,3287441,,4388773,,4.5377,0.0015976487656782,0.0012629076749971
