FRAME,OTIME,AREA5,AREA6,AREA7,AREA21,AREA25,AREA30,AREA35,MSKY,FLUX5,FLUX6,FLUX7,FLUX21,FLUX25,FLUX30,FLUX35
163,59814.46289,78.86259,112.9342,154.5922,1386.167,1963.285,2827.058,3847.85,1155.246,2952.116,3445.485,3911.997,3712.63,2681.667,2221.006,1195.569
164,59814.46686,78.82565,113.3555,154.102,1385.72,1963.925,2827.783,3848.658,1154.145,2937.054,3507.005,3946.625,6973.492,8122.148,10413.1,13315.63
165,59814.47083,78.78804,113.2309,154.4384,1385.838,1963.603,2827.465,3848.432,1181.127,16031.02,16346.7,16758.97,22870.99,23196.02,22789.34,21441.09
166,59814.4748,78.79619,113.3313,154.1203,1385.955,1963.781,2827.592,3848.55,1202.251,2779.702,2962.895,3053.897,7237.817,7397.006,7211.685,8272.5
167,59814.47876,78.81218,113.3825,154.0949,1385.671,1964.005,2827.964,3848.744,1217.51,3440.681,3895.719,4121.195,3985.751,4912.63,4938.564,6802.114
168,59814.48272,78.81468,113.3144,154.1871,1385.694,1964.093,2827.923,3848.774,1235.894,3376.226,3543.641,3475.208,5459.254,5512.239,7617.637,9396.348
169,59814.4867,78.80835,113.3237,154.127,1385.862,1963.811,2827.658,3848.576,1262.889,3525.275,3879.285,4004.925,2934.855,2857.418,3498.27,4720.816
170,59814.49066,78.79156,113.2739,154.3065,1385.808,1963.84,2827.759,3848.646,1294.621,3565.431,3857.079,4032.626,1917.165,2113.019,2335.068,716.4521
171,59814.49463,78.80417,113.3217,154.1312,1385.966,1963.766,2827.581,3848.523,1308.882,2823.159,2847.08,2908.018,1453.952,-268.6218,-975.4492,-773.7428
172,59814.4986,78.83974,113.0907,154.412,1386.018,1963.316,2827.083,3848.149,1314.709,3172.567,3274.944,3562.697,5178.575,4397.74,4289.94,4965.915
173,59814.50257,78.76939,113.3904,154.1488,1385.744,1963.842,2827.69,3848.67,1335.79,3065.262,3514.607,3786.717,686.0359,1007.979,-1012.573,-2898.938
174,59814.50653,78.85988,113.1967,154.3589,1385.838,1963.658,2827.537,3848.457,1355.701,3137.801,3856.102,4344.899,2202.155,1408.703,-535.1364,290.3339
175,59814.51051,78.81625,113.3182,154.1322,1385.826,1963.818,2827.686,3848.574,1363.423,1924.289,2373.638,2865.761,991.3094,-205.143,-1684.862,-3069.647
176,59814.51446,78.81573,113.3357,154.2016,1385.719,1963.615,2827.558,3848.675,1374.83,3132.893,3785.447,4019.741,3748.925,3571.979,7738.609,18255.5
177,59815.34443,78.73495,113.5785,153.9548,1385.423,1964.144,2828.202,3849.212,1122.347,3781.134,4196.226,4340.088,5339.554,7214.845,10403.52,13039.91
178,59815.34839,78.66795,113.641,153.7921,1385.391,1964.355,2828.363,3849.342,1116.962,3745.962,3822.405,3664.44,4482.45,5242.118,5889.707,5541.483
179,59815.35236,78.67196,113.564,153.7864,1385.518,1964.447,2828.315,3849.236,1115.678,3224.571,3345.76,3419.708,2553.818,1508.961,2048.792,637.674
180,59815.35633,78.85569,113.219,154.325,1385.794,1963.762,2827.626,3848.541,1104.882,3233.402,3425.356,3383.45,4217.144,4849.34,6632.521,8594.821
181,59815.36029,78.76949,113.26,154.3933,1385.838,1963.693,2827.581,3848.523,1106.4,3289.589,3423.91,3431.716,4257.653,5256.005,6857.641,7278.13
182,59815.36426,78.81373,113.3414,154.2188,1385.655,1963.602,2827.57,3848.698,1113.871,3374.686,3408.453,3462.312,2962.201,2627.181,3836.143,3634.475
183,59815.36822,78.79687,113.5462,154.0653,1385.333,1963.869,2828.017,3849.173,1129.72,3195.705,3555.293,3672.826,7059.413,7631.673,7273.491,7290.406
184,59815.37218,78.84129,113.0788,154.4325,1386.026,1963.3,2827.08,3848.139,1124.71,2846.843,2931.268,2979.799,7128.721,8167.264,9920.688,11693.42
185,59815.37614,78.83364,113.1313,154.3938,1385.967,1963.316,2827.136,3848.281,1143.613,2956.844,3448.457,3818.767,7273.288,8831.994,9787.417,11457.17
186,59815.38011,78.93667,113.2224,154.5355,1385.856,1963.026,2826.974,3848.354,1162.151,3140.073,3510.622,3908.163,4814.675,5524.334,6035.276,6848.357
187,59815.38407,78.71833,113.5684,153.8771,1385.616,1964.542,2828.381,3848.993,1158.747,3666.049,3902.749,4240.261,9474.55,9378.795,10575.42,11762.22
188,59815.38803,78.85546,113.2046,154.3502,1385.808,1963.714,2827.58,3848.498,1162.612,3624.526,4014.36,4226.01,6109.411,7567.211,9688.597,11606.46
189,59815.39201,78.83155,113.4844,154.1504,1385.366,1963.738,2827.861,3849.052,1155.431,3228.311,3542.811,3806.611,6802.995,8426.01,13993.33,17263.64
190,59815.39597,78.73159,113.5571,153.8996,1385.591,1964.549,2828.387,3848.956,1178.588,3410.575,3777.986,4012.874,7073.795,6309.685,7093.427,8524.057
191,59815.39993,78.80779,113.3036,154.2863,1385.691,1963.384,2827.463,3848.665,1195.39,3002.104,3336.349,3602.076,6793.22,7887.728,10151.41,12181.99
192,59815.40389,78.73035,113.4184,154.1496,1385.774,1964.132,2828.078,3848.809,1188.069,3255.564,3611.8,3917.764,6235.767,5573.117,6878.75,10029.83
193,59815.40785,78.87637,113.2316,154.5038,1385.875,1963.2,2827.085,3848.313,1178.63,2919.418,3161.335,3408.826,5280.654,6379.957,7868.064,9621.322
194,59815.41182,78.82241,113.1856,154.3773,1385.861,1963.35,2827.304,3848.48,1183.863,2508.954,2576.335,2584.601,5113.394,6426.943,8438.512,11475.85
195,59815.41579,78.79988,113.3001,154.2505,1385.771,1963.997,2827.874,3848.723,1187.365,3474.358,3741.902,4040.493,5961.502,6425.114,7991.302,11201.72
196,59815.41975,78.71416,113.5564,153.8961,1385.608,1964.494,2828.367,3849.022,1199.65,3028.961,3364.205,3550.316,5040.658,6607.433,8280.467,14996.44
197,59815.42371,78.78794,113.3411,154.113,1385.968,1963.771,2827.573,3848.553,1188.348,2541.805,2775.52,2935.637,4340.049,5327.775,6614.89,9890.8
198,59815.42767,78.81817,113.3217,154.2903,1385.665,1963.41,2827.47,3848.759,1176.647,3511.857,4277.446,4786.104,8635.815,9729.647,11827.33,16429.99
199,59815.43164,78.81673,113.3832,154.2561,1385.562,1963.521,2827.612,3848.814,1166.864,3008.919,3210.425,3465.541,6595.931,7524.648,10601.65,12934.82
200,59815.4356,78.78515,113.4068,154.1551,1385.686,1963.862,2827.743,3848.728,1196.246,3057.605,3134.532,3226.856,4346.755,6273.414,9065.404,12587.81
201,59815.43978,78.76055,113.372,154.1486,1385.86,1963.807,2827.6,3848.635,1211.822,2811.482,2786.615,2559.924,3040.927,4442.946,4311.603,6466.198
202,59815.44374,78.83937,113.0834,154.4373,1386.025,1963.307,2827.112,3848.199,1235.674,2216.514,2348.601,2240.672,564.0004,729.2762,1063.344,3497.339
203,59815.44772,78.85901,112.9045,154.6271,1386.154,1963.257,2827.074,3847.842,1252.603,2342.602,2568.226,2719.64,3692.513,2714.088,2616.262,3609.356
204,59815.45168,78.83303,113.1396,154.3831,1385.954,1963.332,2827.144,3848.286,1275.813,2967.936,3151.729,3195.501,3124.621,3311.147,3029.868,5061.287
205,59815.45565,78.82223,113.1516,154.368,1385.996,1963.372,2827.179,3848.204,1290.472,3128.845,3469.526,3627.686,894.9949,-496.5965,-1760.214,-1139.336
206,59815.45961,78.79311,113.404,154.1723,1385.66,1963.818,2827.702,3848.754,1297.065,3353.206,3630.617,3747.032,1764.948,1466.359,12921.96,12576.47
207,59815.46358,78.68283,113.6029,153.8273,1385.491,1964.368,2828.352,3849.194,1283.771,3927.49,4266.736,4391.591,2232.055,2346.775,1630.208,1480.64
208,59815.46755,78.82192,113.4027,154.2436,1385.629,1963.528,2827.57,3848.709,1254.66,3085.533,3350.652,3504.382,1193.363,-705.9337,-2840.929,-3457.156
209,59815.47151,78.82375,113.4372,154.2049,1385.427,1963.645,2827.782,3848.932,1253.511,3137.38,3666.814,4101.081,3887.265,4076.684,3069.188,3531.404
210,59815.47547,78.77528,113.6027,154.0205,1385.398,1963.945,2827.994,3849.218,1265.561,3832.06,4314.7,4700.313,3306.596,3239.94,4686.16,16750.6
211,59815.47943,78.78487,113.5624,154.0687,1385.362,1963.847,2827.984,3849.167,1267.173,3260.331,3585.071,3720.096,4469.223,4974.875,3325.819,2496.905
212,59815.48339,78.84802,113.0075,154.4931,1386.164,1963.315,2827.026,3847.883,1300.987,3335.963,3642.616,3682.145,1736.923,983.2029,188.0972,-475.9421
213,59815.48737,78.8241,113.1771,154.3793,1385.872,1963.345,2827.297,3848.457,1349.478,2825.891,3358,3763.773,3057.624,3431.647,3461.99,2250.193
214,59815.49133,78.82921,113.5175,154.1387,1385.4,1963.712,2827.877,3849.041,1392.611,3294.289,3684.172,3937.014,3089.144,4189.318,4135.858,4234.545
215,59815.49529,78.85117,112.9482,154.5645,1386.182,1963.285,2827.04,3847.831,1417.965,3211.856,3801.898,4137.585,1542.322,-279.2628,-3182.45,-4682.002
216,59815.49927,78.78285,113.3921,154.1758,1385.705,1963.781,2827.64,3848.715,1413.975,3471.367,3810.991,4001.565,4276.559,3811.899,3201.097,1856.676
217,59815.50323,78.84899,113.2477,154.4747,1385.88,1963.29,2827.162,3848.343,1440.62,3197.639,3665.534,4161.083,-512.0663,-1810.474,-2932.354,-5749.176
218,59815.5072,78.78113,113.6034,154.0254,1385.415,1963.934,2827.979,3849.206,1462.745,2631.92,3073.917,3255.378,4719.046,4182.105,1862.224,576.401
219,59815.51116,78.84,113.2277,154.3326,1385.955,1963.561,2827.48,3848.439,1500.459,3341.078,3520.701,3679.738,5242.976,6519.372,6919.019,6501.031
220,59815.51512,78.83299,113.1986,154.5078,1385.832,1963.417,2827.228,3848.308,1476.321,2690.078,2963.7,3132.086,3402.006,3692.28,2148.427,3159.905
221,59815.51908,78.7667,113.3239,154.2535,1385.808,1963.988,2827.876,3848.722,1489.57,3318.326,3537.699,3557.39,4365.163,4679.738,4210.429,4416.589
222,59815.52305,78.78103,113.394,154.1433,1385.721,1963.881,2827.741,3848.685,1475.598,3757.773,4076.868,4121.94,1291.246,809.4688,-1172.805,-2366.817
223,59815.52702,78.81385,113.3871,154.0945,1385.675,1963.979,2827.942,3848.734,1472.938,3551.947,3400.917,3129.415,3079.266,2291.348,1520.498,2150.004
224,59815.53148,78.82604,113.3404,154.1055,1385.744,1963.875,2827.722,3848.618,1472.322,3575.428,3711.074,3801.357,4133.183,4592.454,5960.131,5993.525
