FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,MAGUNCERT7,MAGUNCERT5
13.0,59811.4331122,,1.185,,5,,6,,7,,21,,25,,30,,35,,29.717,,29.584,,29.458,,28.849,,28.648,,28.659,,28.596,,0.05,,0.053,,0.055,,0.112,,0.119,,0.159,,0.191,,3638.638,,4114.103,,4619.028,,8097.411,,9739.642,,9641.801,,10223.24,,91965.15,,130958.3,,177620.8,,1560853,,2209859,,3177718,,4322246,,0.0726580317371737,0.0652216163244566
14.0,59811.4370715,,1.183,,5,,6,,7,,21,,25,,30,,35,,29.717,,29.64,,29.636,,29.031,,28.876,,28.86,,28.779,,0.049,,0.054,,0.063,,0.13,,0.144,,0.186,,0.221,,3639.728,,3908.836,,3921.903,,6847.813,,7901.331,,8012.254,,8637.499,,93254.86,,133000.5,,179227.5,,1583567,,2243061,,3226159,,4388388,,0.0824834119277176,0.0639316988895753
15.0,59811.4410306,,1.18,,5,,6,,7,,21,,25,,30,,35,,29.824,,29.699,,29.565,,29.184,,29.008,,28.902,,28.897,,0.061,,0.066,,0.068,,0.173,,0.188,,0.225,,0.286,,3311.475,,3713.853,,4202.961,,5971.316,,7020.998,,7740.895,,7776.233,,95195.62,,135983.4,,184013.1,,1622374,,2297774,,3306143,,4497113,,0.0796049952869818,0.0720409128568313
16.0,59811.444993,,1.179,,5,,6,,7,,21,,25,,30,,35,,29.669,,29.49,,29.421,,28.757,,28.646,,28.404,,28.193,,0.056,,0.057,,0.063,,0.123,,0.142,,0.15,,0.158,,3809.21,,4489.832,,4783.376,,8823.453,,9766.428,,12209.11,,14823.19,,97293.66,,138857.4,,187875.9,,1652767,,2338958,,3366365,,4580390,,0.0705880845409622,0.063171415509198
17.0,59811.449001,,1.179,,5,,6,,7,,21,,25,,30,,35,,29.805,,29.704,,29.593,,29.127,,28.861,,28.355,,28.192,,0.056,,0.061,,0.064,,0.15,,0.15,,0.124,,0.137,,3338.755,,3663.397,,4059.899,,6233.052,,7964.511,,12697.3,,14751.45,,97963.88,,139557.5,,189275.1,,1669394,,2364813,,3406341,,4633638,,0.0854628733894584,0.0734732554578083
18.0,59811.4529651,,1.179,,5,,6,,7,,21,,25,,30,,35,,29.659,,29.565,,29.509,,28.803,,28.736,,28.662,,28.524,,0.042,,0.046,,0.051,,0.096,,0.115,,0.141,,0.159,,3824.051,,4169.927,,4388.736,,8405.807,,8947.839,,9576.721,,10874.69,,98871.65,,140944.7,,190364.0,,1679030,,2376481,,3419108,,4651592,,0.0795683691576604,0.064392879339432
19.0,59811.4569284,,1.18,,5,,6,,7,,21,,25,,30,,35,,29.651,,29.514,,29.423,,28.549,,28.436,,28.12,,27.845,,0.046,,0.049,,0.053,,0.085,,0.098,,0.096,,0.095,,3843.276,,4358.826,,4739.709,,10601.35,,11767.29,,15749.69,,20283.5,,100398.8,,143741.1,,193495.3,,1710614,,2422034,,3486097,,4743192,,0.0755668514636796,0.0654009763111045
20.0,59811.460891,,1.182,,5,,6,,7,,21,,25,,30,,35,,29.838,,29.687,,29.605,,29.014,,29,,28.803,,28.674,,0.056,,0.059,,0.063,,0.133,,0.168,,0.184,,0.209,,3228.198,,3709.839,,4004.146,,6896.042,,6987.088,,8377.434,,9436.148,,101266.7,,145079.2,,195688.4,,1732269,,2453147,,3530289,,4802334,,0.0838925979516492,0.0749723900911304
21.0,59811.4648536,,1.185,,5,,6,,7,,21,,25,,30,,35,,29.711,,29.64,,29.602,,29.206,,29.172,,28.901,,28.716,,0.056,,0.063,,0.071,,0.178,,0.221,,0.227,,0.244,,3619.786,,3865.589,,4001.732,,5763.754,,5948.668,,7631.068,,9047.87,,103468.6,,147863.7,,199203.2,,1762997,,2497259,,3594581,,4890517,,0.0864169908195468,0.0683476345175755
22.0,59811.4688165,,1.188,,5,,6,,7,,21,,25,,30,,35,,29.653,,29.553,,29.476,,29.248,,29.445,,29.542,,29.641,,0.054,,0.059,,0.064,,0.187,,0.288,,0.414,,0.579,,3808.448,,4176.825,,4484.131,,5529.857,,4611.041,,4218.467,,3851.198,,104851.7,,149419.9,,202507.3,,1782933,,2523148,,3630794,,4939837,,0.0803022547479148,0.0666677884518911
