FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,SEEING,MAGUNCERT7,MAGUNCERT5
13,59811.43311,,1.185,,5,,6,,7,,21,,25,,30,,35,,30.035,,29.92,,29.829,,29.555,,29.476,,29.186,,29.28,,0.071,,0.076,,0.082,,0.232,,0.276,,0.278,,0.388,,2716.831,,3020.126,,3281.93,,4226.369,,4544.724,,5937.266,,5442.511,,91953.49,,130909.8,,178143.7,,1573077,,2226595,,3205514,,4360367,,5.3891,0.0961379472568614,0.0841358322094117
14,59811.43707,,1.183,,5,,6,,7,,21,,25,,30,,35,,29.968,,29.87,,29.821,,29.347,,29.341,,29.181,,29.007,,0.066,,0.072,,0.081,,0.19,,0.242,,0.274,,0.299,,2889.458,,3161.067,,3306.257,,5120.453,,5144.36,,5962.276,,7002.24,,93508.02,,133323.7,,180767.3,,1598411,,2262341,,3256407,,4431575,,8.817,0.0985058066373251,0.0809768761766464
15,59811.44103,,1.18,,5,,6,,7,,21,,25,,30,,35,,30.023,,29.896,,29.838,,29.379,,29.295,,28.948,,28.612,,0.076,,0.081,,0.09,,0.214,,0.254,,0.243,,0.228,,2756.307,,3099.187,,3267.944,,4989.781,,5387.417,,7421.155,,10111.6,,95401.12,,136496.3,,184397.7,,1634270,,2314827,,3332785,,4535792,,38.7005,0.1040797000112857,0.0875586197153651
16,59811.44499,,1.179,,5,,6,,7,,21,,25,,30,,35,,30.088,,29.98,,29.897,,29.262,,29.289,,28.703,,28.572,,0.082,,0.09,,0.097,,0.198,,0.259,,0.199,,0.226,,2589.828,,2859.905,,3086.034,,5538.107,,5404.998,,9274.315,,10463.21,,96935.43,,138689.4,,187776.1,,1665589,,2358294,,3397038,,4621071,,14.0429,0.111093259788348,0.093939943855994
17,59811.449,,1.179,,5,,6,,7,,21,,25,,30,,35,,29.985,,29.867,,29.724,,29.171,,28.926,,28.828,,28.771,,0.071,,0.076,,0.079,,0.171,,0.175,,0.211,,0.256,,2827.04,,3153.905,,3595.396,,5986.97,,7503.882,,8208.128,,8649.494,,98271.13,,140198.0,,190301.3,,1683233,,2384084,,3430274,,4666254,,5.2146,0.0930223595444588,0.084932857017516
18,59811.45297,,1.179,,5,,6,,7,,21,,25,,30,,35,,29.865,,29.71,,29.638,,28.68,,28.272,,28.069,,27.911,,0.055,,0.057,,0.063,,0.094,,0.082,,0.09,,0.099,,3160.467,,3648.571,,3898.579,,9416.849,,13718.01,,16526.29,,19124.27,,98923.94,,141772.5,,191149.7,,1694039,,2402055,,3455628,,4699905,,5.7108,0.0902351417874642,0.078513295194677
19,59811.45693,,1.18,,5,,6,,7,,21,,25,,30,,35,,30.02,,29.904,,29.835,,29.129,,28.937,,28.515,,28.204,,0.068,,0.073,,0.08,,0.153,,0.164,,0.146,,0.14,,2735.511,,3045.849,,3244.887,,6214.655,,7419.721,,10941.95,,14577.16,,100304.4,,143900.9,,194034.6,,1724569,,2443736,,3518523,,4787986,,8.2012,0.107834916909027,0.0906691261956294
20,59811.46089,,1.182,,5,,6,,7,,21,,25,,30,,35,,30.112,,29.986,,29.937,,28.912,,28.711,,28.527,,28.189,,0.078,,0.084,,0.093,,0.132,,0.141,,0.157,,0.147,,2508.924,,2816.705,,2946.885,,7575.575,,9116.977,,10800.29,,14748.76,,101497.2,,145267.7,,196629.9,,1747491,,2474843,,3561732,,4847933,,4.3842,0.1221626453245093,0.1008056035504216
21,59811.46485,,1.185,,5,,6,,7,,21,,25,,30,,35,,30.094,,30.032,,30.017,,29.396,,29.092,,28.648,,28.448,,0.086,,0.098,,0.113,,0.232,,0.225,,0.197,,0.209,,2544.427,,2694.387,,2730.023,,4837.754,,6400.972,,9632.717,,11586.4,,103332.1,,147804.8,,199908.1,,1777770,,2519611,,3628077,,4936150,,5.7215,0.1303460391957618,0.0989618470868884
22,59811.46882,,1.188,,5,,6,,7,,21,,25,,30,,35,,29.975,,29.871,,29.808,,29.787,,29.686,,29.842,,29.34,,0.074,,0.081,,0.09,,0.321,,0.375,,0.569,,0.458,,2832.243,,3114.481,,3302.564,,3365.755,,3693.24,,3200.841,,5082.795,,104786.4,,150116.6,,202591.2,,1797315,,2547220,,3665221,,4988466,,8.3485,0.1035375198975253,0.0871233590450561
